strain,plate,T1,T2,C1,C2
dyf11,31,54,24,23,27
dyf11,32,82,64,59,70
dyf11,33,141,72,86,53
dyf11,34,74,58,71,56
dyf11,35,77,48,30,40
dyf11,36,49,39,33,36
