strain,plate,T1,T2,C1,C2
osm5,19,42,48,17,5
osm5,20,36,38,27,31
osm5,21,39,29,23,27
osm5,22,46,54,34,25
osm5,23,47,36,36,30
osm5,24,40,59,26,45
