strain,plate,T1,T2,C1,C2
osm12,37,32,13,4,10
osm12,38,55,39,24,24
osm12,39,31,23,18,15
osm12,40,36,21,22,16
osm12,41,39,30,25,21
osm12,42,18,31,19,18
