strain,plate,T1,T2,C1,C2
kap1,43,71,63,23,27
kap1,44,62,22,28,20
kap1,45,38,37,18,17
kap1,46,24,51,31,21
kap1,47,57,56,35,16
kap1,48,48,59,24,21
