strain,plate,T1,T2,C1,C2
osm1,7,48,20,21,24
osm1,8,51,76,35,51
osm1,9,56,62,33,67
osm1,10,48,50,25,40
osm1,11,59,51,31,38
osm1 ,12,31,39,26,41
