strain,plate,T1,T2,C1,C2
osm3,13,75,81,4,6
osm3,14,63,50,8,16
osm3,15,52,71,11,9
osm3,16,64,48,8,18
osm3,17,57,52,12,16
osm3,18,82,75,5,7
