strain,plate,T1,T2,C1,C2
dyf2,25,17,20,11,20
dyf2,26,84,48,49,35
dyf2,27,31,35,46,21
dyf2,28,49,23,38,27
dyf2,29,23,28,26,19
dyf2,30,30,15,26,16
