strain,plate,T1,T2,C1,C2
wt,1,47,94,5,3
wt,2,56,47,2,0
wt,3,62,49,3,3
wt,4,46,54,3,0
wt,5,42,55,6,4
wt,6,49,64,11,4
wt,7,22,59,2,7
wt,8,48,108,3,5
wt,9,69,51,5,7
wt,10,21,67,2,4
wt,11,45,20,5,6
wt,12,6,86,5,1
wt,13,29,44,9,3
