strain,plate,T1,T2,C1,C2
bbs8,49,75,54,41,56
bbs8,50,45,48,32,43
bbs8,51,93,79,70,57
bbs8,52,53,77,42,56
bbs8,53,64,64,40,62
bbs8,54,54,51,44,48
